Date,Transaction Description,Category,Amount,Type
2023-07-27,Ola,Transport,930,Debit
2024-12-15,Zomato,Food,723,Debit
2023-08-02,Amazon,Shopping,314,Debit
2023-12-14,Flipkart,Shopping,910,Debit
2024-06-02,Flipkart,Shopping,445,Debit
2024-01-26,Google Drive,Cloud,130,Debit
2023-05-16,Starbucks,Food,848,Debit
2023-12-15,Uber,Transport,321,Debit
2024-06-18,Zomato,Food,551,Debit
2023-06-30,Swiggy,Food,618,Debit
2024-09-03,Flipkart,Shopping,278,Debit
2024-09-01,Swiggy,Food,554,Debit
2023-10-01,Ola,Transport,790,Debit
2024-12-01,Zomato,Food,222,Debit
2023-08-04,Zomato,Food,335,Debit
2024-12-28,Amazon,Shopping,762,Debit
2023-05-12,Starbucks,Food,918,Debit
2023-04-26,Starbucks,Food,601,Debit
2023-02-10,Swiggy,Food,180,Debit
2023-04-11,Flipkart,Shopping,1020,Debit
2024-03-02,Starbucks,Food,872,Debit
2024-02-24,Zomato,Food,908,Debit
2023-08-04,Zomato,Food,738,Debit
2024-03-18,Swiggy,Food,1003,Debit
2023-08-06,Flipkart,Shopping,264,Debit
2024-12-28,Ola,Transport,250,Debit
2024-09-18,Starbucks,Food,213,Debit
2024-09-25,Flipkart,Shopping,328,Debit
2023-10-17,Ola,Transport,1079,Debit
2024-01-26,Swiggy,Food,203,Debit
2023-01-24,Zomato,Food,1123,Debit
2024-01-28,Amazon,Shopping,1063,Debit
2023-05-31,Mobile Recharge,Utilities,470,Debit
2023-10-23,Uber,Transport,1030,Debit
2023-11-11,Ola,Transport,1069,Debit
2023-07-30,Hotstar,Entertainment,299,Debit
2023-12-01,Amazon,Shopping,1017,Debit
2024-02-25,Amazon Prime,Shopping,149,Debit
2024-09-15,Ola,Transport,429,Debit
2024-03-08,Starbucks,Food,741,Debit
2024-07-29,Starbucks,Food,497,Debit
2024-11-21,Electricity Bill,Utilities,1284,Debit
2023-02-07,Starbucks,Food,1068,Debit
2024-05-23,Ola,Transport,629,Debit
2024-03-09,Zomato,Food,348,Debit
2024-11-13,Flipkart,Shopping,1000,Debit
2024-11-01,Flipkart,Shopping,436,Debit
2024-02-23,Amazon,Shopping,857,Debit
2023-12-11,Flipkart,Shopping,1110,Debit
2024-11-25,Ola,Transport,1082,Debit
2024-05-16,Zomato,Food,606,Debit
2024-01-26,Mobile Recharge,Utilities,423,Debit
2024-05-20,Flipkart,Shopping,1008,Debit
2023-09-28,Electricity Bill,Utilities,1432,Debit
2024-05-27,Uber,Transport,274,Debit
2023-07-30,Spotify,Music,119,Debit
2023-04-27,Ola,Transport,1144,Debit
2024-10-12,Flipkart,Shopping,1143,Debit
2024-05-25,Spotify,Music,119,Debit
2024-07-23,Zomato,Food,328,Debit
2024-08-25,Uber,Transport,852,Debit
2023-01-31,Mobile Recharge,Utilities,439,Debit
2024-04-25,Electricity Bill,Utilities,1027,Debit
2023-12-19,Uber,Transport,632,Debit
2023-04-16,Flipkart,Shopping,1183,Debit
2024-09-08,Starbucks,Food,323,Debit
2024-02-19,Uber,Transport,1139,Debit
2023-12-27,Amazon Prime,Shopping,149,Debit
2023-11-27,Amazon Prime,Shopping,149,Debit
2024-10-08,Ola,Transport,820,Debit
2023-04-01,Google Drive,Cloud,130,Debit
2023-10-29,Amazon,Shopping,1031,Debit
2023-09-05,Amazon,Shopping,1008,Debit
2024-10-22,Google Drive,Cloud,130,Debit
2023-05-07,Zomato,Food,558,Debit
2023-07-25,Amazon,Shopping,639,Debit
2024-07-11,Swiggy,Food,762,Debit
2023-08-04,Swiggy,Food,290,Debit
2023-01-23,Amazon,Shopping,1145,Debit
2023-05-04,Flipkart,Shopping,926,Debit
2023-09-28,Mobile Recharge,Utilities,485,Debit
2024-08-24,Swiggy,Food,440,Debit
2023-03-19,Zomato,Food,1092,Debit
2023-07-19,Starbucks,Food,446,Debit
2023-03-02,Hotstar,Entertainment,299,Debit
2023-12-24,Starbucks,Food,1016,Debit
2024-02-20,Amazon,Shopping,272,Debit
2023-01-24,Starbucks,Food,488,Debit
2024-07-24,Electricity Bill,Utilities,1558,Debit
2023-01-23,Flipkart,Shopping,291,Debit
2023-08-30,Amazon,Shopping,628,Debit
2023-01-27,Zomato,Food,610,Debit
2023-09-05,Ola,Transport,909,Debit
2023-05-09,Zomato,Food,1102,Debit
2023-11-11,Swiggy,Food,512,Debit
2024-08-23,Salary,Income,50000,Credit
2024-03-26,Spotify,Music,119,Debit
2023-06-16,Starbucks,Food,353,Debit
2023-11-27,Amazon,Shopping,952,Debit
2023-09-15,Swiggy,Food,717,Debit
2023-05-20,Uber,Transport,1073,Debit
2023-11-18,Starbucks,Food,1188,Debit
2023-08-29,Uber,Transport,686,Debit
2024-04-12,Zomato,Food,1005,Debit
2023-06-24,Swiggy,Food,610,Debit
2024-07-27,Ola,Transport,944,Debit
2023-08-26,Swiggy,Food,438,Debit
2023-12-12,Ola,Transport,727,Debit
2024-06-25,Zomato,Food,289,Debit
2024-01-27,Zomato,Food,1172,Debit
2023-03-10,Ola,Transport,411,Debit
2023-02-15,Zomato,Food,538,Debit
2023-02-20,Ola,Transport,395,Debit
2023-11-27,Netflix,Entertainment,499,Debit
2024-11-10,Swiggy,Food,288,Debit
2024-12-19,Uber,Transport,684,Debit
2024-10-14,Swiggy,Food,473,Debit
2024-09-23,Ola,Transport,597,Debit
2024-03-06,Amazon,Shopping,899,Debit
2023-10-18,Flipkart,Shopping,323,Debit
2023-07-19,Ola,Transport,540,Debit
2023-09-24,Ola,Transport,1058,Debit
2024-08-17,Amazon,Shopping,324,Debit
2024-07-19,Uber,Transport,465,Debit
2024-12-27,Zomato,Food,821,Debit
2023-03-29,Ola,Transport,293,Debit
2023-03-18,Flipkart,Shopping,1113,Debit
2023-07-26,Swiggy,Food,801,Debit
2024-07-11,Zomato,Food,965,Debit
2023-08-27,Swiggy,Food,958,Debit
2023-12-20,Uber,Transport,352,Debit
2023-03-04,Amazon,Shopping,852,Debit
2024-02-27,Zomato,Food,477,Debit
2023-03-21,Uber,Transport,720,Debit
2024-04-19,Flipkart,Shopping,754,Debit
2023-04-17,Uber,Transport,656,Debit
2023-06-02,Swiggy,Food,529,Debit
2024-01-20,Ola,Transport,712,Debit
2024-04-21,Ola,Transport,345,Debit
2023-09-28,Spotify,Music,119,Debit
2024-05-11,Ola,Transport,214,Debit
2024-02-28,Zomato,Food,476,Debit
2023-01-10,Starbucks,Food,967,Debit
2023-02-02,Starbucks,Food,1118,Debit
2024-02-01,Uber,Transport,282,Debit
2024-12-21,Amazon Prime,Shopping,149,Debit
2023-06-12,Zomato,Food,772,Debit
2024-04-12,Amazon,Shopping,226,Debit
2024-12-11,Starbucks,Food,652,Debit
2023-01-15,Amazon,Shopping,696,Debit
2024-09-20,Zomato,Food,741,Debit
2024-05-14,Amazon,Shopping,862,Debit
2023-07-12,Amazon,Shopping,1055,Debit
2024-12-17,Starbucks,Food,345,Debit
2024-12-03,Flipkart,Shopping,309,Debit
2023-06-28,Ola,Transport,707,Debit
2024-09-06,Ola,Transport,953,Debit
2023-06-27,Ola,Transport,772,Debit
2023-03-06,Swiggy,Food,1017,Debit
2023-02-05,Swiggy,Food,974,Debit
2023-03-22,Uber,Transport,1193,Debit
2023-02-22,Zomato,Food,693,Debit
2023-07-27,Ola,Transport,461,Debit
2023-11-01,Swiggy,Food,791,Debit
2024-09-24,Ola,Transport,688,Debit
2023-09-05,Zomato,Food,945,Debit
2023-04-05,Amazon,Shopping,323,Debit
2023-10-25,Amazon,Shopping,781,Debit
2023-08-22,Zomato,Food,334,Debit
2024-02-13,Starbucks,Food,731,Debit
2024-10-28,Amazon,Shopping,460,Debit
2023-04-13,Starbucks,Food,660,Debit
2023-08-29,Google Drive,Cloud,130,Debit
2024-11-08,Ola,Transport,1011,Debit
2024-02-25,Spotify,Music,119,Debit
2024-08-30,Zomato,Food,827,Debit
2023-07-29,Flipkart,Shopping,1051,Debit
2023-04-06,Flipkart,Shopping,631,Debit
2023-06-04,Zomato,Food,889,Debit
2023-06-14,Flipkart,Shopping,1002,Debit
2023-08-11,Uber,Transport,169,Debit
2023-05-28,Amazon,Shopping,1155,Debit
2024-04-23,Zomato,Food,1064,Debit
2023-05-01,Apple Music,Music,99,Debit
2023-01-01,Apple Music,Music,99,Debit
2024-07-08,Flipkart,Shopping,345,Debit
2024-06-24,Internet Bill,Utilities,870,Debit
2023-02-01,Zomato,Food,420,Debit
2024-02-09,Ola,Transport,1104,Debit
2024-07-13,Starbucks,Food,858,Debit
2023-01-29,Swiggy,Food,295,Debit
2023-07-28,Starbucks,Food,829,Debit
2024-05-03,Starbucks,Food,456,Debit
2023-04-22,Zomato,Food,281,Debit
2023-04-03,Uber,Transport,580,Debit
2024-10-21,Zomato,Food,613,Debit
2023-08-31,Starbucks,Food,821,Debit
2023-08-01,Swiggy,Food,1111,Debit
2023-11-12,Starbucks,Food,811,Debit
2023-08-29,Hotstar,Entertainment,299,Debit
2024-10-07,Starbucks,Food,719,Debit
2024-10-24,Ola,Transport,332,Debit
2024-10-13,Swiggy,Food,1091,Debit
2024-04-30,Flipkart,Shopping,597,Debit
2024-06-02,Flipkart,Shopping,1098,Debit
2023-05-26,Zomato,Food,982,Debit
2024-04-25,Ola,Transport,778,Debit
2024-04-28,Starbucks,Food,602,Debit
2023-05-28,Swiggy,Food,752,Debit
2024-01-23,Starbucks,Food,464,Debit
2024-12-21,Apple Music,Music,99,Debit
2023-04-10,Ola,Transport,968,Debit
2024-04-17,Uber,Transport,544,Debit
2023-07-17,Ola,Transport,747,Debit
2024-11-18,Swiggy,Food,1039,Debit
2024-05-25,Mobile Recharge,Utilities,466,Debit
2024-08-23,Amazon Prime,Shopping,149,Debit
2023-01-30,Swiggy,Food,826,Debit
2024-10-22,Salary,Income,50000,Credit
2024-12-25,Ola,Transport,781,Debit
2023-12-27,Salary,Income,50000,Credit
2023-11-01,Swiggy,Food,1091,Debit
2023-12-19,Ola,Transport,317,Debit
2024-08-18,Amazon,Shopping,877,Debit
2024-01-21,Starbucks,Food,477,Debit
2024-02-14,Zomato,Food,770,Debit
2023-07-14,Swiggy,Food,209,Debit
2024-10-10,Ola,Transport,583,Debit
2024-12-21,Hotstar,Entertainment,299,Debit
2024-10-09,Flipkart,Shopping,279,Debit
2023-11-19,Uber,Transport,1124,Debit
2024-07-12,Flipkart,Shopping,946,Debit
2024-08-16,Starbucks,Food,225,Debit
2023-01-10,Starbucks,Food,1027,Debit
2024-06-04,Starbucks,Food,424,Debit
2023-06-26,Flipkart,Shopping,779,Debit
2023-09-27,Ola,Transport,1185,Debit
2023-04-01,Hotstar,Entertainment,299,Debit
2024-06-21,Zomato,Food,871,Debit
2024-03-19,Amazon,Shopping,616,Debit
2024-11-21,Mobile Recharge,Utilities,495,Debit
2023-08-22,Amazon,Shopping,1000,Debit
2023-06-30,Amazon Prime,Shopping,149,Debit
2023-08-16,Uber,Transport,166,Debit
2024-11-09,Flipkart,Shopping,1114,Debit
2023-09-11,Amazon,Shopping,584,Debit
2023-08-29,Amazon Prime,Shopping,149,Debit
2023-08-27,Flipkart,Shopping,899,Debit
2023-05-03,Ola,Transport,819,Debit
2023-01-15,Amazon,Shopping,384,Debit
2024-12-05,Zomato,Food,244,Debit
2024-02-13,Flipkart,Shopping,311,Debit
2023-08-31,Starbucks,Food,603,Debit
2024-01-27,Starbucks,Food,942,Debit
2023-01-18,Flipkart,Shopping,761,Debit
2024-04-07,Amazon,Shopping,431,Debit
2023-09-22,Ola,Transport,1181,Debit
2024-01-18,Ola,Transport,1022,Debit
2024-12-16,Swiggy,Food,624,Debit
2023-03-02,Amazon Prime,Shopping,149,Debit
2024-04-21,Zomato,Food,437,Debit
2023-11-14,Starbucks,Food,265,Debit
2024-09-21,Amazon,Shopping,1164,Debit
2024-08-23,Netflix,Entertainment,499,Debit
2023-05-23,Ola,Transport,584,Debit
2024-11-05,Amazon,Shopping,261,Debit
2023-08-07,Uber,Transport,917,Debit
2023-10-17,Uber,Transport,472,Debit
2023-06-29,Amazon,Shopping,810,Debit
2023-09-07,Swiggy,Food,908,Debit
2023-07-18,Ola,Transport,649,Debit
2023-06-23,Swiggy,Food,628,Debit
2024-02-18,Ola,Transport,743,Debit
2024-10-29,Starbucks,Food,1056,Debit
2024-11-21,Hotstar,Entertainment,299,Debit
2023-12-24,Zomato,Food,456,Debit
2024-09-07,Starbucks,Food,503,Debit
2024-08-14,Uber,Transport,465,Debit
2024-09-09,Uber,Transport,389,Debit
2023-10-28,Spotify,Music,119,Debit
2024-01-16,Ola,Transport,311,Debit
2024-08-27,Swiggy,Food,385,Debit
2023-07-01,Starbucks,Food,232,Debit
2024-08-06,Ola,Transport,793,Debit
2023-08-16,Uber,Transport,754,Debit
2024-10-15,Ola,Transport,151,Debit
2023-09-25,Swiggy,Food,809,Debit
2023-12-23,Ola,Transport,1068,Debit
2023-06-09,Uber,Transport,1128,Debit
2023-04-05,Ola,Transport,497,Debit
2024-08-10,Swiggy,Food,559,Debit
2023-07-30,Internet Bill,Utilities,979,Debit
2023-09-28,Google Drive,Cloud,130,Debit
2024-06-24,Google Drive,Cloud,130,Debit
2023-06-06,Swiggy,Food,261,Debit
2024-08-31,Zomato,Food,1035,Debit
2023-09-30,Amazon,Shopping,344,Debit
2024-07-07,Ola,Transport,1038,Debit
2023-04-10,Amazon,Shopping,936,Debit
2024-01-25,Amazon,Shopping,720,Debit
2023-07-10,Amazon,Shopping,1096,Debit
2023-08-21,Flipkart,Shopping,1052,Debit
2024-12-27,Zomato,Food,336,Debit
2024-01-11,Ola,Transport,1119,Debit
2024-09-30,Flipkart,Shopping,345,Debit
2024-05-11,Uber,Transport,987,Debit
2023-05-11,Uber,Transport,371,Debit
2023-06-14,Flipkart,Shopping,929,Debit
2024-09-11,Ola,Transport,1006,Debit
2024-12-18,Zomato,Food,957,Debit
2024-08-11,Amazon,Shopping,579,Debit
2023-03-16,Amazon,Shopping,830,Debit
2023-08-24,Uber,Transport,486,Debit
2023-11-30,Amazon,Shopping,341,Debit
2023-06-23,Flipkart,Shopping,1079,Debit
2023-02-17,Uber,Transport,267,Debit
2023-10-02,Swiggy,Food,336,Debit
2023-10-27,Flipkart,Shopping,431,Debit
2024-04-25,Mobile Recharge,Utilities,553,Debit
2023-12-09,Flipkart,Shopping,1069,Debit
2024-12-02,Flipkart,Shopping,1008,Debit
2023-11-24,Starbucks,Food,257,Debit
2023-11-14,Uber,Transport,712,Debit
2023-02-16,Starbucks,Food,274,Debit
2024-05-10,Amazon,Shopping,280,Debit
2024-05-07,Zomato,Food,1000,Debit
2023-05-01,Flipkart,Shopping,1095,Debit
2024-02-12,Zomato,Food,772,Debit
2023-01-20,Starbucks,Food,813,Debit
2024-08-01,Ola,Transport,763,Debit
2023-02-15,Ola,Transport,1146,Debit
2023-10-29,Zomato,Food,414,Debit
2024-04-03,Uber,Transport,1131,Debit
2023-11-05,Ola,Transport,311,Debit
2024-08-23,Apple Music,Music,99,Debit
2023-01-18,Starbucks,Food,367,Debit
2024-04-12,Flipkart,Shopping,510,Debit
2024-02-07,Uber,Transport,965,Debit
2023-06-29,Swiggy,Food,1034,Debit
2024-03-09,Flipkart,Shopping,393,Debit
2024-09-19,Uber,Transport,216,Debit
2024-02-22,Ola,Transport,567,Debit
2023-11-27,Internet Bill,Utilities,857,Debit
2024-02-06,Starbucks,Food,326,Debit
2024-07-13,Amazon,Shopping,310,Debit
2023-11-16,Swiggy,Food,266,Debit
2023-02-02,Zomato,Food,1118,Debit
2023-07-30,Mobile Recharge,Utilities,454,Debit
2023-09-26,Zomato,Food,713,Debit
2024-04-15,Starbucks,Food,369,Debit
2023-12-05,Starbucks,Food,227,Debit
2024-09-18,Zomato,Food,319,Debit
2023-08-17,Flipkart,Shopping,250,Debit
2024-06-17,Uber,Transport,1005,Debit
2023-01-29,Starbucks,Food,601,Debit
2023-07-01,Flipkart,Shopping,192,Debit
2023-01-10,Uber,Transport,599,Debit
2024-07-24,Spotify,Music,119,Debit
2024-07-14,Zomato,Food,305,Debit
2023-08-05,Swiggy,Food,355,Debit
2024-12-03,Uber,Transport,705,Debit
2023-06-23,Uber,Transport,555,Debit
2023-07-30,Apple Music,Music,99,Debit
2023-07-26,Ola,Transport,628,Debit
2023-08-10,Amazon,Shopping,643,Debit
2023-08-03,Flipkart,Shopping,928,Debit
2024-06-05,Amazon,Shopping,311,Debit
2023-05-15,Flipkart,Shopping,234,Debit
2024-03-31,Swiggy,Food,927,Debit
2024-03-26,Amazon Prime,Shopping,149,Debit
2024-05-08,Ola,Transport,671,Debit
2023-02-21,Starbucks,Food,231,Debit
2023-02-14,Swiggy,Food,949,Debit
2023-06-30,Apple Music,Music,99,Debit
2024-02-02,Flipkart,Shopping,890,Debit
2024-07-18,Amazon,Shopping,300,Debit
2023-09-01,Amazon,Shopping,986,Debit
2023-11-12,Flipkart,Shopping,797,Debit
2024-04-27,Amazon,Shopping,754,Debit
2023-12-18,Swiggy,Food,999,Debit
2023-01-23,Swiggy,Food,325,Debit
2023-05-02,Swiggy,Food,682,Debit
2023-04-07,Flipkart,Shopping,557,Debit
2023-03-07,Uber,Transport,417,Debit
2023-07-03,Zomato,Food,1042,Debit
2024-05-18,Zomato,Food,1093,Debit
2024-01-11,Flipkart,Shopping,541,Debit
2023-06-17,Amazon,Shopping,582,Debit
2023-04-11,Amazon,Shopping,161,Debit
2024-01-23,Uber,Transport,891,Debit
2023-04-23,Flipkart,Shopping,1010,Debit
2024-09-10,Uber,Transport,439,Debit
2023-05-18,Starbucks,Food,1140,Debit
2023-07-12,Flipkart,Shopping,1170,Debit
2024-12-04,Starbucks,Food,257,Debit
2023-01-01,Electricity Bill,Utilities,1114,Debit
2023-04-09,Ola,Transport,998,Debit
2024-05-19,Zomato,Food,381,Debit
2023-01-01,Mobile Recharge,Utilities,593,Debit
2024-06-24,Hotstar,Entertainment,299,Debit
2023-01-13,Zomato,Food,477,Debit
2024-08-18,Zomato,Food,240,Debit
2024-03-13,Amazon,Shopping,832,Debit
2024-04-08,Starbucks,Food,473,Debit
2023-05-15,Uber,Transport,1027,Debit
2024-05-06,Starbucks,Food,1151,Debit
2023-02-25,Starbucks,Food,354,Debit
2023-01-01,Netflix,Entertainment,499,Debit
2023-12-08,Ola,Transport,239,Debit
2023-10-28,Hotstar,Entertainment,299,Debit
2024-05-30,Uber,Transport,1002,Debit
2024-02-06,Flipkart,Shopping,415,Debit
2024-03-27,Starbucks,Food,1141,Debit
2023-10-07,Flipkart,Shopping,255,Debit
2023-11-21,Swiggy,Food,657,Debit
2024-09-04,Uber,Transport,553,Debit
2023-10-09,Ola,Transport,609,Debit
2023-06-01,Uber,Transport,664,Debit
2024-09-17,Starbucks,Food,1163,Debit
2024-06-05,Zomato,Food,826,Debit
2023-06-21,Amazon,Shopping,1112,Debit
2024-04-20,Zomato,Food,980,Debit
2024-08-08,Starbucks,Food,646,Debit
2024-04-22,Uber,Transport,658,Debit
2023-12-06,Zomato,Food,482,Debit
2023-09-01,Flipkart,Shopping,1100,Debit
2024-01-24,Flipkart,Shopping,307,Debit
2023-12-13,Zomato,Food,558,Debit
2024-07-30,Ola,Transport,448,Debit
2024-03-16,Amazon,Shopping,762,Debit
2023-05-30,Amazon,Shopping,905,Debit
2024-01-26,Electricity Bill,Utilities,1223,Debit
2024-01-29,Starbucks,Food,734,Debit
2023-03-09,Starbucks,Food,223,Debit
2023-01-20,Ola,Transport,189,Debit
2024-02-29,Ola,Transport,781,Debit
2024-12-13,Uber,Transport,152,Debit
2024-05-27,Ola,Transport,765,Debit
2024-08-07,Ola,Transport,803,Debit
2023-04-22,Ola,Transport,984,Debit
2023-09-09,Uber,Transport,538,Debit
2023-12-02,Uber,Transport,1145,Debit
2023-10-28,Google Drive,Cloud,130,Debit
2023-08-29,Electricity Bill,Utilities,1089,Debit
2023-01-18,Flipkart,Shopping,515,Debit
2023-05-07,Flipkart,Shopping,191,Debit
2023-11-22,Uber,Transport,913,Debit
2024-03-26,Electricity Bill,Utilities,1517,Debit
2023-09-28,Hotstar,Entertainment,299,Debit
2024-01-08,Swiggy,Food,1087,Debit
2023-10-18,Uber,Transport,814,Debit
2024-09-23,Ola,Transport,359,Debit
2024-07-24,Netflix,Entertainment,499,Debit
2024-06-26,Amazon,Shopping,1149,Debit
2024-07-03,Ola,Transport,648,Debit
2023-04-18,Swiggy,Food,735,Debit
2024-01-01,Amazon,Shopping,325,Debit
2023-06-15,Flipkart,Shopping,1028,Debit
2023-09-23,Flipkart,Shopping,767,Debit
2024-03-17,Uber,Transport,828,Debit
2023-08-16,Swiggy,Food,960,Debit
2024-02-18,Starbucks,Food,212,Debit
2024-08-05,Ola,Transport,428,Debit
2024-04-23,Flipkart,Shopping,696,Debit
2024-01-18,Zomato,Food,1059,Debit
2023-06-03,Ola,Transport,716,Debit
2023-01-01,Amazon Prime,Shopping,149,Debit
2024-12-21,Electricity Bill,Utilities,1006,Debit
2023-11-17,Amazon,Shopping,334,Debit
2024-09-06,Uber,Transport,870,Debit
2024-09-22,Google Drive,Cloud,130,Debit
2024-04-14,Swiggy,Food,168,Debit
2023-05-31,Netflix,Entertainment,499,Debit
2023-01-30,Zomato,Food,288,Debit
2024-01-06,Swiggy,Food,871,Debit
2023-04-21,Ola,Transport,462,Debit
2024-07-09,Uber,Transport,245,Debit
2024-02-26,Swiggy,Food,253,Debit
2023-10-07,Flipkart,Shopping,1016,Debit
2023-08-20,Amazon,Shopping,348,Debit
2024-03-25,Amazon,Shopping,1129,Debit
2024-02-25,Swiggy,Food,697,Debit
2024-06-26,Swiggy,Food,1139,Debit
2024-08-01,Ola,Transport,307,Debit
2023-06-04,Zomato,Food,769,Debit
2024-10-24,Swiggy,Food,618,Debit
2024-11-06,Ola,Transport,380,Debit
2023-04-07,Uber,Transport,610,Debit
2023-12-06,Uber,Transport,418,Debit
2024-05-11,Swiggy,Food,291,Debit
2024-06-29,Flipkart,Shopping,517,Debit
2023-04-17,Flipkart,Shopping,717,Debit
2024-03-29,Amazon,Shopping,1151,Debit
2024-02-15,Starbucks,Food,465,Debit
2023-01-12,Flipkart,Shopping,246,Debit
2024-05-09,Amazon,Shopping,596,Debit
2023-02-28,Ola,Transport,769,Debit
2024-12-25,Ola,Transport,692,Debit
2023-08-13,Amazon,Shopping,1018,Debit
2024-04-29,Zomato,Food,1081,Debit
2023-09-20,Zomato,Food,1012,Debit
2024-05-13,Ola,Transport,923,Debit
2024-12-25,Uber,Transport,575,Debit
2023-06-15,Ola,Transport,758,Debit
2023-05-31,Google Drive,Cloud,130,Debit
2024-07-02,Swiggy,Food,914,Debit
2024-12-06,Swiggy,Food,1102,Debit
2024-05-07,Ola,Transport,268,Debit
2023-05-18,Zomato,Food,1041,Debit
2024-09-27,Flipkart,Shopping,573,Debit
2024-07-16,Zomato,Food,878,Debit
2023-12-27,Netflix,Entertainment,499,Debit
2024-11-13,Uber,Transport,1176,Debit
2024-07-05,Ola,Transport,926,Debit
2024-10-03,Zomato,Food,449,Debit
2024-03-23,Ola,Transport,460,Debit
2024-06-15,Uber,Transport,790,Debit
2024-04-25,Netflix,Entertainment,499,Debit
2024-09-30,Starbucks,Food,697,Debit
2024-03-26,Internet Bill,Utilities,858,Debit
2023-01-04,Amazon,Shopping,814,Debit
2024-11-29,Swiggy,Food,175,Debit
2023-08-06,Uber,Transport,209,Debit
2024-04-20,Amazon,Shopping,545,Debit
2024-04-02,Uber,Transport,1055,Debit
2023-09-29,Ola,Transport,844,Debit
2023-08-11,Flipkart,Shopping,1102,Debit
2024-09-14,Starbucks,Food,259,Debit
2024-06-13,Uber,Transport,886,Debit
2024-12-13,Flipkart,Shopping,920,Debit
2024-02-25,Electricity Bill,Utilities,1238,Debit
2024-12-11,Ola,Transport,198,Debit
2023-03-31,Starbucks,Food,410,Debit
2023-11-03,Swiggy,Food,815,Debit
2023-11-23,Ola,Transport,987,Debit
2024-10-27,Starbucks,Food,486,Debit
2024-08-02,Amazon,Shopping,1165,Debit
2023-09-17,Swiggy,Food,883,Debit
2023-10-20,Amazon,Shopping,1018,Debit
2023-11-29,Starbucks,Food,921,Debit
2024-06-06,Swiggy,Food,540,Debit
2023-05-12,Ola,Transport,556,Debit
2023-08-09,Amazon,Shopping,518,Debit
2024-09-22,Hotstar,Entertainment,299,Debit
2024-08-29,Amazon,Shopping,649,Debit
2024-02-10,Starbucks,Food,855,Debit
2024-07-25,Ola,Transport,361,Debit
2024-04-06,Uber,Transport,1117,Debit
2024-05-28,Amazon,Shopping,1024,Debit
2023-05-09,Amazon,Shopping,674,Debit
2023-01-24,Flipkart,Shopping,407,Debit
2024-07-03,Amazon,Shopping,612,Debit
2023-07-16,Zomato,Food,382,Debit
2024-03-04,Starbucks,Food,1113,Debit
2024-07-14,Uber,Transport,962,Debit
2024-05-06,Ola,Transport,263,Debit
2023-05-19,Uber,Transport,652,Debit
2023-01-04,Amazon,Shopping,599,Debit
2024-03-07,Swiggy,Food,970,Debit
2023-01-31,Salary,Income,50000,Credit
2023-02-09,Ola,Transport,661,Debit
2024-04-30,Amazon,Shopping,1114,Debit
2024-01-10,Uber,Transport,785,Debit
2023-02-10,Flipkart,Shopping,350,Debit
2023-11-27,Uber,Transport,785,Debit
2023-11-18,Starbucks,Food,234,Debit
2024-04-21,Uber,Transport,327,Debit
2023-02-25,Swiggy,Food,586,Debit
2023-06-30,Hotstar,Entertainment,299,Debit
2024-03-26,Salary,Income,50000,Credit
2023-01-06,Swiggy,Food,582,Debit
2023-06-02,Zomato,Food,796,Debit
2024-05-29,Uber,Transport,930,Debit
2023-09-28,Amazon Prime,Shopping,149,Debit
2024-01-26,Apple Music,Music,99,Debit
2023-07-20,Flipkart,Shopping,292,Debit
2024-06-11,Zomato,Food,568,Debit
2024-12-31,Flipkart,Shopping,436,Debit
2023-12-23,Starbucks,Food,160,Debit
2024-10-22,Swiggy,Food,166,Debit
2024-03-18,Flipkart,Shopping,204,Debit
2023-05-31,Amazon Prime,Shopping,149,Debit
2024-12-21,Ola,Transport,706,Debit
2023-01-26,Ola,Transport,1074,Debit
2023-08-24,Uber,Transport,1136,Debit
2024-07-17,Swiggy,Food,754,Debit
2024-12-21,Zomato,Food,302,Debit
2023-08-08,Starbucks,Food,993,Debit
2024-10-03,Amazon,Shopping,809,Debit
2024-06-11,Flipkart,Shopping,1130,Debit
2024-11-07,Starbucks,Food,174,Debit
2024-08-12,Flipkart,Shopping,291,Debit
2024-01-19,Amazon,Shopping,872,Debit
2023-09-28,Apple Music,Music,99,Debit
2024-12-09,Amazon,Shopping,646,Debit
2024-01-05,Flipkart,Shopping,830,Debit
2024-08-19,Swiggy,Food,171,Debit
2024-12-21,Internet Bill,Utilities,889,Debit
2024-07-22,Flipkart,Shopping,702,Debit
2023-05-31,Hotstar,Entertainment,299,Debit
2024-10-09,Amazon,Shopping,883,Debit
2024-10-16,Zomato,Food,711,Debit
2023-12-27,Hotstar,Entertainment,299,Debit
2024-06-13,Starbucks,Food,1168,Debit
2023-08-14,Zomato,Food,937,Debit
2024-05-21,Swiggy,Food,356,Debit
2024-10-22,Amazon,Shopping,853,Debit
2023-11-27,Amazon,Shopping,439,Debit
2023-11-28,Starbucks,Food,323,Debit
2024-07-25,Swiggy,Food,333,Debit
2023-08-12,Swiggy,Food,1054,Debit
2023-01-01,Hotstar,Entertainment,299,Debit
2023-03-17,Uber,Transport,476,Debit
2023-10-08,Swiggy,Food,1189,Debit
2024-08-18,Starbucks,Food,968,Debit
2023-02-13,Swiggy,Food,487,Debit
2023-05-06,Starbucks,Food,256,Debit
2023-05-10,Starbucks,Food,384,Debit
2023-01-31,Netflix,Entertainment,499,Debit
2023-03-01,Amazon,Shopping,763,Debit
